thema;indicator;x2012;x2018;x2020;x2021;x2022;x2023;x2024;x2025;bron;doel_streefwaarde_bedoeling;legitimatie;doel_coalitie;bedoeling_coalitie
Overheidsfinanciën & Openbaar bestuur;EMU-saldo (€ mld);;;-30,34700000000000;-20,14500000000000;22,00000000000000;-3,8970000000000;-8,30000000000000;-18,70;CBS;;"Verdrag van Maastricht; Wet HOF; SGP";;
;EMU-saldo (% BBP);;;-3,70000000000000;-2,30000000000000;0,00000000000000;-0,4000000000000;-0,70000000000000;-1,60;CBS;niet lager dan -3%;"Verdrag van Maastricht; Wet HOF; SGP";niet lager dan -3%;
;EMU-schuld (% BBP);;;53,40000000000000;50,50000000000000;48,40000000000000;45,8000000000000;43,80000000000000;44,40;CBS;max. 60%;"Verdrag van Maastricht; Wet HOF; SGP";;
;"""Rule of Law""-index (rang)";;;5,00000000000000;6,00000000000000;5,00000000000000;7,0000000000000;8,00000000000000;9,00;World Justice Project;een lagere rang (getal) is beter;Breed gehanteerde indicator, score gebaseerd op data 8 thema's zoals corruptie, mensenrechten en strafrecht;;
;"""Rule of Law""-index (score)";;;0,84000000000000;0,83000000000000;0,83000000000000;0,8300000000000;0,83000000000000;0,82;World Justice Project;een hogere score is beter;Breed gehanteerde indicator, score gebaseerd op data 8 thema's zoals corruptie, mensenrechten en strafrecht;;
;Totale overheidsuitgaven als % BBP;;;47,80000000000000;45,90000000000000;43,30000000000000;44,0000000000000;44,30000000000000;44,90;CBS;;Europese Stabiliteits- en Groeipact;;
;Vertrouwen in Tweede Kamer (% met (tamelijk) veel vertrouwen);;;53,20000000000000;42,30000000000000;30,40000000000000;29,0000000000000;31,30000000000000;24,60;CBS;een hoger % is beter;Legitimiteit parlementaire democratie, Vertrouwensregel;;
Economie & Arbeidsmarkt;BBP reële groei;;;-3,90000000000000;6,30000000000000;5,00000000000000;-0,6000000000000;1,10000000000000;;CBS;;Europese Stabiliteits- en Groeipact;Actief sturen op 1,5% structurele economische groei;
;R en D uitgaven (% BBP);;;2,27000000000000;2,22000000000000;2,18000000000000;2,3000000000000;2,29000000000000;;CBS;0.03;EU Lissabondoelstelling, vastgelegd in Europe 2020 strategy;Bewegen richting Lissabon-doelstelling van 3%;
;"Concurrentiekracht (World Competitiveness Ranking); rang NL binnen Europa";;;3,00000000000000;4,00000000000000;4,00000000000000;4,0000000000000;5,00000000000000;5,00;IMD;Hogere rang is beter;Beleid Europese Commissie in navolging rapport Draghi;;
