thema;indicator;eenheid;bron;doel_tekst;legitimatie;coalitiedoel;coalitiebedoeling;doel;doeljaar;doel_meerdere;richting;doelsoort;heeft_coalitiedoel;doel_alt;doel_alt_label
Wonen;Verdeling woningvoorraad naar eigendom (sociale huur);sociale huur;CBS;Meer is beter;Programma Woningbouw 2022;NA;NA;NA;NA;NA;hoger;Overig;FALSE;NA;NA
Wonen;(Mediane) Woonquote (eigenaar);eigenaar;CBS;Lager is beter;Woningwet;NA;NA;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
Wonen;(Mediane) Woonquote (huurder);huurder;CBS;Lager is beter;Woningwet;NA;NA;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
Wonen;Dakloosheid (dakloze mensen x 1.000);dakloze mensen x 1.000;NA;2030: nul daklozen;"Grondwet, VN-verdrag (recht op wonen); Nationaal Actieplan Dakloosheid";NA;NA;0,0;2030;NA;lager;Wet of verdrag;FALSE;NA;NA
Zorg;Gezonde levensverwachting (bij geboorte) - mannen;NA;RIVM/CBS;een hogere leeftijd is beter;Nationaal Preventieakkoord 2018/Samenhangende preventiestrategie;NA;Gezondste generatie;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA
Zorg;Gezonde levensverwachting (bij geboorte) - vrouwen;NA;RIVM/CBS;een hogere leeftijd is beter;Nationaal Preventieakkoord 2018/Samenhangende preventiestrategie;NA;Gezondste generatie;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA
Zorg;Gemiddelde wachttijd behandeling ziekenhuis (% langer dan Treeknorm);% langer dan Treeknorm;Nza;een lager % is beter;Wet Marktordening Gezondheidszorg;NA;Toegankelijkheid zorg verbeteren;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
Zorg;Vaccinatiegraad Rijksvaccinatieprogramma zuigelingen (geregistreerde vaccinaties totaal);NA;RIVM;Minimaal 90%;Professionele norm WHO en RIVM voor effectieve bescherming;NA;NA;90,0;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA
Zorg;Vaccinatiegraad Rijksvaccinatieprogramma zuigelingen (geregistreerde vaccinaties BMR);NA;NA;Minimaal 95%;Professionele norm WHO en RIVM voor effectieve bescherming;NA;NA;95,0;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA
Zorg;Voldoende beweging (% bevolking > 4 jr.);% bevolking > 4 jr.;RIVM/CBS;2040: minimaal 75% (4-17 jr.);Nationaal Preventieakkoord 2018/Samenhangende preventiestrategie;NA;We focussen op (…) en op het stimuleren van bewegen;75,0;2040;NA;hoger;Beleidsafspraak;FALSE;NA;NA
Zorg;% rokers 12-18 jr.;NA;RIVM/CBS;2040: 0% (12-25jr.);Nationaal Preventieakkoord 2018/Samenhangende preventiestrategie;NA;We gaan door met initiatieven rondom de rookvrije generatie en de minimale leeftijd voor de aanschaf van nicotinehoudende producten gaat naar 21 jaar.;0,0;2040;NA;lager;Beleidsafspraak;FALSE;NA;NA
Zorg;% rokers > 18 jr.;NA;NA;NA;NA;NA;NA;NA;NA;NA;lager;NA;FALSE;NA;NA
Binnenlandse Veiligheid;Aantal geregistreerde misdrijven;NA;CBS/Politie;Lager # is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;lager;Beleidsafspraak;FALSE;NA;NA
Binnenlandse Veiligheid;Aantal opgehelderde misdrijven;NA;CBS/Politie;Meer opgehelderd is beter (hoger aantal);Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA
Binnenlandse Veiligheid;Ophelderingspercentage misdrijven;NA;CBS/Politie;hoger % opgehelderd is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA
Binnenlandse Veiligheid;Slachtoffers traditionele criminaliteit (% bevolking);% bevolking;CBS;Hoe minder hoe beter;Breed gehanteerde indicator;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA
Binnenlandse Veiligheid;High Impact Crimes x 1.000;NA;CBS;Hoe minder hoe beter;Wetboek van Strafrecht, ingediende moties en toezeggingen aan de Kamer;NA;NA;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
Binnenlandse Veiligheid;National Cybersecurity Index - NL (score);score;e-Governance Academy (Estland);Hoe hoger, hoe beter;"NIS2-richtlijn; Cyberbeveiligingswet";NA;We breiden de defensieve en offensieve cybercapaciteiten uit;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Binnenlandse Veiligheid;National Cybersecurity Index - NL (ranking);ranking;e-Governance Academy (Estland);hoe lager het cijfer van de ranking, hoe beter;"NIS2-richtlijn; Cyberbeveiligingswet";NA;We breiden de defensieve en offensieve cybercapaciteiten uit;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
Binnenlandse Veiligheid;Slachtoffers van moord en doodslag per 100.000 inwoners;NA;CBS;Hoe minder hoe beter;Breed gehanteerde indicator;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA
Defensie en Ontwikkelingssamenwerking;Defensie uitgaven (NAVO-norm);NAVO-norm;Defensie;2035: 3,5% BBP;NATO guideline 2014 (2%) en Defence Investment Plan 2025 (3,5% + 1,5%);Wettelijke verankering NAVO-norm van 3,5% BBP;NA;3,5;2035;NA;hoger;Overig;TRUE;NA;NA
Defensie en Ontwikkelingssamenwerking;Investeringsquote defensie uitgaven (% defensie-uitgaven voor investeringen);NA;Defensie;> 20%;NATO Defence Investment Pledge (2014) en Defence Planning Capability Review;NA;NA;20,0;NA;NA;hoger;Overig;FALSE;NA;NA
Defensie en Ontwikkelingssamenwerking;Vullingsgraad formatie krijgsmacht (Militair personeel);Militair personeel;Defensie;2025: 86,7%;Jaarverslagen ministerie van Defensie;NA;NA;86,7;2025;NA;hoger;Overig;FALSE;NA;NA
Defensie en Ontwikkelingssamenwerking;Uitgaven ontwikkelingssamenwerking (als % BNI);als % BNI;CBS;7.0000000000000001E-3;VN-resolutie 2626 (XXV) en overgenomen in EU-verplichtingen en SDG 17.2;NA;We zetten een stap richting de OESO-norm;0,7;NA;NA;hoger;Overig;FALSE;NA;NA
Bestaanszekerheid;Armoede intensiteit (% inkomenstekort ten opzichte van de armoedegrens bij de mediaan binnen de groep in armoede);NA;CBS/SCP/Nibud;Lager is beter;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;We zien dat de intensiteit van de resterende armoede toeneemt. Daarom nemen we gerichte maatregelen om die kwetsbare groep, die voor een groot deel bestaat uit werkende armen, te helpen;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
Bestaanszekerheid;Huishoudens met problematische schulden (%);%;CBS;Hoe minder hoe beter;Participatiewet 2015;NA;… denk aan het oplossen van schuldenproblematiek;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
