thema;indicator;eerste_jaar;laatste_jaar;n_metingen;startwaarde;laatste_waarde;eenheid;bron;herkomst;doel_tekst;legitimatie;doelsoort;coalitiedoel;doel;doeljaar;heeft_raming;raming_jaar;raming_waarde;raming_bron;doel_alt;doel_alt_label;richting;helling;r2;projectie;afstand;gat;gat_projectie;status;beweging;verandering;verandering_pct;heeft_streefwaarde
Overheidsfinanciën & Openbaar bestuur;EMU-schuld (% BBP);1995;2025;31;73,20000000000000;44,70000000000000;% BBP;CBS StatLine 84118NED;CBS;max. 60%;"Verdrag van Maastricht; Wet HOF; SGP";Wet of verdrag;NA;60,0;2030;FALSE;NA;NA;NA;NA;NA;lager;-1,57030303030302e+00;0,79166264248123042;35,392121212120855;2,15909090909090873;1,53000000000000e+01;2,46078787878791e+01;Doel gehaald;Goede kant op;-28,5000000000000000;-0,38934426229508196;TRUE
Overheidsfinanciën & Openbaar bestuur;Totale overheidsuitgaven als % BBP;2020;2025;6;47,80000000000000;44,90000000000000;NA;CBS;Rekenkamer;NA;Europese Stabiliteits- en Groeipact;Internationale afspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;-5,31428571428569e-01;0,37920350748984866;NA;NA;NA;NA;Geen richting;NA;-2,8999999999999986;-0,06066945606694558;FALSE
Overheidsfinanciën & Openbaar bestuur;Vertrouwen in Tweede Kamer (% met (tamelijk) veel vertrouwen);2020;2025;6;53,20000000000000;24,60000000000000;NA;CBS;Rekenkamer;een hoger % is beter;Legitimiteit parlementaire democratie, Vertrouwensregel;Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;-5,06857142857179e+00;0,79793341841253862;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;-28,6000000000000014;-0,53759398496240607;FALSE
Wonen;(Mediane) Woonquote (eigenaar);2020;2023;4;18,70000000000000;17,10000000000000;eigenaar;CBS;Rekenkamer;Lager is beter;Woningwet;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;-5,99999999999998e-01;0,88235294117647067;NA;NA;NA;NA;Alleen richting;Goede kant op;-1,5999999999999979;-0,08556149732620309;FALSE
Wonen;(Mediane) Woonquote (huurder);2020;2023;4;29,60000000000000;26,40000000000000;huurder;CBS;Rekenkamer;Lager is beter;Woningwet;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;-1,42000000000000e+00;0,64216560509554188;NA;NA;NA;NA;Alleen richting;Goede kant op;-3,2000000000000028;-0,10810810810810820;FALSE
Wonen;Dakloosheid (dakloze mensen x 1.000);2020;2024;5;36,40000000000000;33,00000000000000;dakloze mensen x 1.000;NA;Rekenkamer;2030: nul daklozen;"Grondwet, VN-verdrag (recht op wonen); Nationaal Actieplan Dakloosheid";Wet of verdrag;NA;0,0;2030;FALSE;NA;NA;NA;NA;NA;lager;-8,20000000000006e-01;0,13161603507673406;25,159999999999854;0,09340659340659337;-3,30000000000000e+01;-2,51599999999999e+01;Te traag;Goede kant op;-3,3999999999999986;-0,09340659340659337;TRUE
Wonen;Verdeling woningvoorraad naar eigendom (koop);2020;2025;6;4517,92100000000028;4754,00000000000000;koop;CBS;Rekenkamer;NA;Programma Woningbouw 2022;Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;4,65368285714346e+01;0,98599596305755610;NA;NA;NA;NA;Geen richting;NA;236,0789999999997235;0,05225390173931765;FALSE
Wonen;Verdeling woningvoorraad naar eigendom (sociale huur);2020;2025;6;2298,88500000000022;2332,00000000000000;sociale huur;CBS;Rekenkamer;Meer is beter;Programma Woningbouw 2022;Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;6,62388571428645e+00;0,95295610034912048;NA;NA;NA;NA;Alleen richting;Goede kant op;33,1149999999997817;0,01440480928798082;FALSE
Wonen;Verdeling woningvoorraad naar eigendom (vrije sectorhuur);2020;2025;6;1058,83600000000001;1181,00000000000000;vrije sectorhuur;CBS;Rekenkamer;NA;Programma Woningbouw 2022;Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;2,59746000000025e+01;0,91951306302851521;NA;NA;NA;NA;Geen richting;NA;122,1639999999999873;0,11537575224114026;FALSE
Wonen;Woningen tekort (aantal);2020;2025;6;331,00000000000000;396,00000000000000;aantal;CBS/SBF;Rekenkamer;Lager tekort is beter;Programma Woningbouw 2022;Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;2,18857142857187e+01;0,64877930119426075;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;65,0000000000000000;0,19637462235649547;FALSE
Zorg;% rokers 12-18 jr.;2020;2025;6;4,20000000000000;7,90000000000000;NA;RIVM/CBS;Rekenkamer;2040: 0% (12-25jr.);Nationaal Preventieakkoord 2018/Samenhangende preventiestrategie;Beleidsafspraak;NA;0,0;2040;FALSE;NA;NA;NA;NA;NA;lager;6,40000000000038e-01;0,82835130970713544;17,833333333333485;-0,88095238095238093;-7,90000000000000e+00;-1,78333333333335e+01;Verkeerde richting;Verkeerde kant op;3,7000000000000002;0,88095238095238093;TRUE
Zorg;% rokers > 18 jr.;2020;2025;6;20,20000000000000;17,80000000000000;NA;NA;Rekenkamer;NA;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;-5,45714285714368e-01;0,86739052902718905;NA;NA;NA;NA;Alleen richting;Goede kant op;-2,3999999999999986;-0,11881188118811875;FALSE
Zorg;Gemiddelde wachttijd behandeling ziekenhuis (% langer dan Treeknorm);2022;2025;4;46,20000000000000;42,00000000000000;% langer dan Treeknorm;Nza;Rekenkamer;een lager % is beter;Wet Marktordening Gezondheidszorg;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;-1,50000000000000e+00;0,92288761279737586;NA;NA;NA;NA;Alleen richting;Goede kant op;-4,2000000000000028;-0,09090909090909097;FALSE
Zorg;Gezonde levensverwachting (bij geboorte) - mannen;2020;2025;6;66,40000000000001;64,09999999999999;NA;RIVM/CBS;Rekenkamer;een hogere leeftijd is beter;Nationaal Preventieakkoord 2018/Samenhangende preventiestrategie;Beleidsafspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;-4,65714285714313e-01;0,51187746845189275;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;-2,3000000000000114;-0,03463855421686764;FALSE
Zorg;Gezonde levensverwachting (bij geboorte) - vrouwen;2020;2025;6;65,80000000000000;62,00000000000000;NA;RIVM/CBS;Rekenkamer;een hogere leeftijd is beter;Nationaal Preventieakkoord 2018/Samenhangende preventiestrategie;Beleidsafspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;-8,05714285714365e-01;0,77423249172448860;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;-3,7999999999999972;-0,05775075987841941;FALSE
Zorg;Vaccinatiegraad Rijksvaccinatieprogramma zuigelingen (geregistreerde vaccinaties BMR);2020;2025;6;93,59999999999999;88,80000000000000;NA;NA;Rekenkamer;Minimaal 95%;Professionele norm WHO en RIVM voor effectieve bescherming;Beleidsafspraak;NA;95,0;2030;FALSE;NA;NA;NA;NA;NA;hoger;-1,19142857142875e+00;0,87116555196517054;82,214285714284870;-3,42857142857141284;6,20000000000000e+00;1,27857142857151e+01;Verkeerde richting;Verkeerde kant op;-4,7999999999999972;-0,05128205128205125;TRUE
Zorg;Vaccinatiegraad Rijksvaccinatieprogramma zuigelingen (geregistreerde vaccinaties totaal);2020;2025;6;90,80000000000000;86,00000000000000;NA;RIVM;Rekenkamer;Minimaal 90%;Professionele norm WHO en RIVM voor effectieve bescherming;Beleidsafspraak;NA;90,0;2030;FALSE;NA;NA;NA;NA;NA;hoger;-1,52000000000023e+00;0,65114880824568522;76,366666666665878;6,00000000000001776;4,00000000000000e+00;1,36333333333341e+01;Verkeerde richting;Verkeerde kant op;-4,7999999999999972;-0,05286343612334799;TRUE
Zorg;Voldoende beweging (% bevolking > 4 jr.);2020;2025;6;52,70000000000000;47,00000000000000;% bevolking > 4 jr.;RIVM/CBS;Rekenkamer;2040: minimaal 75% (4-17 jr.);Nationaal Preventieakkoord 2018/Samenhangende preventiestrategie;Beleidsafspraak;NA;75,0;2040;FALSE;NA;NA;NA;NA;NA;hoger;-8,77142857142801e-01;0,30580632601289071;31,733333333334940;-0,25560538116591947;2,80000000000000e+01;4,32666666666651e+01;Verkeerde richting;Verkeerde kant op;-5,7000000000000028;-0,10815939278937386;TRUE
