thema;indicator;eerste_jaar;laatste_jaar;n_metingen;startwaarde;laatste_waarde;eenheid;bron;herkomst;doel_tekst;legitimatie;doelsoort;coalitiedoel;doel;doeljaar;heeft_raming;raming_jaar;raming_waarde;raming_bron;doel_alt;doel_alt_label;richting;helling;r2;projectie;afstand;gat;gat_projectie;status;beweging;verandering;verandering_pct;heeft_streefwaarde
Defensie en Ontwikkelingssamenwerking;Defensie uitgaven (NAVO-norm);2020;2025;6;1,41000000000000;2,22000000000000;NAVO-norm;Defensie;Rekenkamer;2035: 3,5% BBP;NATO guideline 2014 (2%) en Defence Investment Plan 2025 (3,5% + 1,5%);Overig;Wettelijke verankering NAVO-norm van 3,5% BBP;3,5;2035;FALSE;NA;NA;NA;NA;NA;hoger;1,56000000000029e-01;0,74454545454554444;3,560000000000286;0,38755980861244033;1,28000000000000e+00;-6,00000000002865e-02;Op koers;Goede kant op;0,8100000000000003;0,57446808510638325;TRUE
Defensie en Ontwikkelingssamenwerking;Investeringsquote defensie uitgaven (% defensie-uitgaven voor investeringen);2022;2025;4;24,90000000000000;30,10000000000000;NA;Defensie;Rekenkamer;> 20%;NATO Defence Investment Pledge (2014) en Defence Planning Capability Review;Overig;NA;20,0;2030;FALSE;NA;NA;NA;NA;NA;hoger;1,84000000000000e+00;0,75978456014362616;38,360000000000127;-1,06122448979591932;-1,01000000000000e+01;-1,83600000000001e+01;Doel gehaald;Goede kant op;5,2000000000000028;0,20883534136546197;TRUE
Defensie en Ontwikkelingssamenwerking;Uitgaven ontwikkelingssamenwerking (als % BNI);2020;2025;6;0,59000000000000;0,54000000000000;als % BNI;CBS;Rekenkamer;7.0000000000000001E-3;VN-resolutie 2626 (XXV) en overgenomen in EU-verplichtingen en SDG 17.2;Overig;NA;0,7;2030;FALSE;NA;NA;NA;NA;NA;hoger;1,14285714285694e-03;0,00120300751879625;0,608571428571427;-0,45454545454545398;1,60000000000000e-01;9,14285714285734e-02;Te traag;Goede kant op;-0,0499999999999999;-0,08474576271186429;TRUE
Defensie en Ontwikkelingssamenwerking;Vullingsgraad formatie krijgsmacht (Militair personeel);2021;2025;5;79,90000000000001;79,50000000000000;Militair personeel;Defensie;Rekenkamer;2025: 86,7%;Jaarverslagen ministerie van Defensie;Overig;NA;86,7;2025;FALSE;NA;NA;NA;NA;NA;hoger;-3,50000000000021e-01;0,24209486166007801;78,400000000000091;-0,05882352941176557;7,20000000000000e+00;8,29999999999991e+00;Verkeerde richting;Verkeerde kant op;-0,4000000000000057;-0,00500625782227792;TRUE
Economie & Arbeidsmarkt;"Arbeidsproductiviteit (toegevoegde waarde per gewerkt uur; index, 2021 = 100)";2020;2024;5;97,00000000000000;99,90000000000001;NA;CBS;Rekenkamer;een hogere indexscore is beter;Beleid Europese Commissie, Productiviteitsagenda;Internationale afspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;5,80000000000007e-01;0,26347117794486929;NA;NA;NA;NA;Alleen richting;Goede kant op;2,9000000000000057;0,02989690721649491;FALSE
Economie & Arbeidsmarkt;BBP reële groei;2020;2024;5;-3,90000000000000;1,10000000000000;NA;CBS;Rekenkamer;NA;Europese Stabiliteits- en Groeipact;Internationale afspraak;Actief sturen op 1,5% structurele economische groei;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;3,10000000000017e-01;0,01392995883342211;NA;NA;NA;NA;Alleen richting;Goede kant op;5,0000000000000000;1,28205128205128216;FALSE
Economie & Arbeidsmarkt;"Concurrentiekracht (World Competitiveness Ranking); rang NL binnen Europa";2020;2025;6;3,00000000000000;5,00000000000000;NA;IMD;Rekenkamer;Hogere rang is beter;Beleid Europese Commissie in navolging rapport Draghi;Internationale afspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;3,71428571428605e-01;0,85210084033608058;NA;NA;NA;NA;Alleen richting;Goede kant op;2,0000000000000000;0,66666666666666663;FALSE
Economie & Arbeidsmarkt;Netto arbeidsparticipatie (% 15-75-jarigen met betaald werk);2020;2025;6;69,59999999999999;73,20000000000000;NA;CBS;Rekenkamer;een hoger % is beter;Participatiewet;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;7,80000000000076e-01;0,85621230398065729;NA;NA;NA;NA;Alleen richting;Goede kant op;3,6000000000000085;0,05172413793103461;FALSE
Economie & Arbeidsmarkt;R en D uitgaven (% BBP);2013;2024;12;2,14000000000000;2,36000000000000;% BBP;CBS StatLine 84644NED;CBS;0.03;EU Lissabondoelstelling, vastgelegd in Europe 2020 strategy;Internationale afspraak;Bewegen richting Lissabon-doelstelling van 3%;3,0;2030;FALSE;NA;NA;NA;2,5;Nederlands doel (2,5% sinds 2011, EZLI);hoger;2,49090909090912e-02;0,72045294606871479;2,456545454545456;0,25581395348837183;6,40000000000000e-01;5,43454545454544e-01;Te traag;Goede kant op;0,2199999999999998;0,10280373831775688;TRUE
Economie & Arbeidsmarkt;Werkloosheid (% werkzoekenden 15-75 jaar die direct beschikbaar zijn als percentage van beroepsbevolking);2020;2025;6;4,80000000000000;3,90000000000000;NA;CBS;Rekenkamer;een lager % is beter;Europese intitatieven uit Europees Parlement: Europese Werkgelegenheidsstrategie;Internationale afspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;-1,68571428571428e-01;0,42322188449837267;NA;NA;NA;NA;Alleen richting;Goede kant op;-0,8999999999999999;-0,18750000000000000;FALSE
