indicator;jaar;thema;eenheid;bron;doel_tekst;legitimatie;coalitiedoel;coalitiebedoeling;doel;doeljaar;doel_meerdere;richting;doelsoort;heeft_coalitiedoel;doel_alt;doel_alt_label;waarde_rk;waarde;herkomst
Huishoudens met problematische schulden (%);2020;Bestaanszekerheid;%;CBS;Hoe minder hoe beter;Participatiewet 2015;NA;… denk aan het oplossen van schuldenproblematiek;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;7,90000000000000;7,90000000000000;Rekenkamer
Huishoudens met problematische schulden (%);2021;Bestaanszekerheid;%;CBS;Hoe minder hoe beter;Participatiewet 2015;NA;… denk aan het oplossen van schuldenproblematiek;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;7,70000000000000;7,70000000000000;Rekenkamer
Huishoudens met problematische schulden (%);2022;Bestaanszekerheid;%;CBS;Hoe minder hoe beter;Participatiewet 2015;NA;… denk aan het oplossen van schuldenproblematiek;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;8,10000000000000;8,10000000000000;Rekenkamer
Huishoudens met problematische schulden (%);2023;Bestaanszekerheid;%;CBS;Hoe minder hoe beter;Participatiewet 2015;NA;… denk aan het oplossen van schuldenproblematiek;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;8,80000000000000;8,80000000000000;Rekenkamer
Huishoudens met problematische schulden (%);2024;Bestaanszekerheid;%;CBS;Hoe minder hoe beter;Participatiewet 2015;NA;… denk aan het oplossen van schuldenproblematiek;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;8,90000000000000;8,90000000000000;Rekenkamer
Huishoudens met problematische schulden (%);2025;Bestaanszekerheid;%;CBS;Hoe minder hoe beter;Participatiewet 2015;NA;… denk aan het oplossen van schuldenproblematiek;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;8,60000000000000;8,60000000000000;Rekenkamer
Kinderarmoede (% kinderen < 18);2020;Bestaanszekerheid;% kinderen < 18;CBS/CPB;Niet hoger dan 2024: 2,8%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;NA;2,8;2024;NA;lager;Wet of verdrag;FALSE;NA;NA;6,20000000000000;6,20000000000000;Rekenkamer
Kinderarmoede (% kinderen < 18);2021;Bestaanszekerheid;% kinderen < 18;CBS/CPB;Niet hoger dan 2024: 2,8%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;NA;2,8;2024;NA;lager;Wet of verdrag;FALSE;NA;NA;5,60000000000000;5,60000000000000;Rekenkamer
Kinderarmoede (% kinderen < 18);2022;Bestaanszekerheid;% kinderen < 18;CBS/CPB;Niet hoger dan 2024: 2,8%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;NA;2,8;2024;NA;lager;Wet of verdrag;FALSE;NA;NA;4,10000000000000;4,10000000000000;Rekenkamer
Kinderarmoede (% kinderen < 18);2023;Bestaanszekerheid;% kinderen < 18;CBS/CPB;Niet hoger dan 2024: 2,8%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;NA;2,8;2024;NA;lager;Wet of verdrag;FALSE;NA;NA;2,80000000000000;2,80000000000000;Rekenkamer
Kinderarmoede (% kinderen < 18);2024;Bestaanszekerheid;% kinderen < 18;CBS/CPB;Niet hoger dan 2024: 2,8%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;NA;2,8;2024;NA;lager;Wet of verdrag;FALSE;NA;NA;2,80000000000000;2,80000000000000;Rekenkamer
Aantal geregistreerde misdrijven;2020;Binnenlandse Veiligheid;NA;CBS/Politie;Lager # is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;lager;Beleidsafspraak;FALSE;NA;NA;813,00000000000000;813,00000000000000;Rekenkamer
Aantal geregistreerde misdrijven;2021;Binnenlandse Veiligheid;NA;CBS/Politie;Lager # is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;lager;Beleidsafspraak;FALSE;NA;NA;758,00000000000000;758,00000000000000;Rekenkamer
Aantal geregistreerde misdrijven;2022;Binnenlandse Veiligheid;NA;CBS/Politie;Lager # is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;lager;Beleidsafspraak;FALSE;NA;NA;811,00000000000000;811,00000000000000;Rekenkamer
Aantal geregistreerde misdrijven;2023;Binnenlandse Veiligheid;NA;CBS/Politie;Lager # is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;lager;Beleidsafspraak;FALSE;NA;NA;817,00000000000000;817,00000000000000;Rekenkamer
Aantal geregistreerde misdrijven;2024;Binnenlandse Veiligheid;NA;CBS/Politie;Lager # is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;lager;Beleidsafspraak;FALSE;NA;NA;816,00000000000000;816,00000000000000;Rekenkamer
Aantal geregistreerde misdrijven;2025;Binnenlandse Veiligheid;NA;CBS/Politie;Lager # is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;lager;Beleidsafspraak;FALSE;NA;NA;816,00000000000000;816,00000000000000;Rekenkamer
